genename	refseq
NHLRC3	NM_001017370
ITSN1	NM_003024
ITSN1	NM_001001132
OLFM4	NM_006418
ITSN1	NM_001331010
ITSN1	NM_001331009
ITSN1	NM_001331008
ITSN1	NM_001331011
PRR20A	NM_198441
CCDC40	NM_001243342
CCDC40	NM_017950
CLDN14	NM_012130
CCDC40	NM_001330508
CLDN14	NM_144492
CLDN14	NM_001146079
CLDN14	NM_001146078
CLDN14	NM_001146077
GAA	NM_001406741
GAA	NM_000152
GAA	NM_001079804
GAA	NM_001079803
XYLT1	NM_022166
EIF4A3	NM_014740
KCNJ6	NM_002240
IPO5	NM_002271
ATP5PO	NM_001697
CHODL	NM_001204177
CHODL	NM_001204178
CHODL	NM_001204176
CHODL	NM_001204175
CHODL	NM_024944
CHODL	NM_001204174
RTP1	NM_153708
RTP4	NM_022147
MASP1	NM_001879
MASP1	NM_139125
MASP1	NM_001031849
S100B	NM_006272
BACH1	NM_001186
BACH1	NM_206866
NXNL2	NM_145283
NXNL2	NM_001161625
DIAPH3	NM_001042517
DIAPH3	NM_001258366
DIAPH3	NM_001258368
DIAPH3	NM_001258367
DIAPH3	NM_001258369
DIAPH3	NM_030932
DIAPH3	NM_001258370
ETS2	NM_001256295
ETS2	NM_005239
PCDH17	NM_001040429
COLEC12	NM_130386
USP12	NM_182488
KCNJ15	NM_001276436
KCNJ15	NM_001276435
KCNJ15	NM_002243
KCNJ15	NM_001276439
KCNJ15	NM_001276437
KCNJ15	NM_001276438
KCNJ15	NM_170736
KCNJ15	NM_170737
WBP4	NM_007187
SERTM1	NM_203451
ISLR	NM_005545
ISLR	NM_201526
SLC7A1	NM_003045
IMPA2	NM_014214
STRA6	NM_022369
STRA6	NM_001142619
STRA6	NM_001142617
TMEM131	NM_015348
STRA6	NM_001142618
STRA6	NM_001199040
STRA6	NM_001199042
STRA6	NM_001199041
STRA6	NM_001142620
FAHD2B	NM_001320848
FAHD2B	NM_199336
FAHD2B	NM_001320849
CRYZL1	NM_145858
CCDC33	NM_025055
CCDC33	NM_001287181
CCDC33	NM_182791
ANKRD36	NM_001354587
CYP11A1	NM_001099773
CYP11A1	NM_000781
ANKRD36	NM_198555
RAB31	NM_006868
SEMA7A	NM_003612
SEMA7A	NM_001146030
SEMA7A	NM_001146029
COX5B	NM_001862
UBL7	NM_001286741
UBL7	NM_001286739
ACTR1B	NM_005735
UBL7	NM_032907
UBL7	NM_001286740
UBL7	NM_201265
UBL7	NM_001286742
SLC15A1	NM_005073
N6AMT1	NM_013240
C2orf92	NM_001351368
C2orf92	NM_001410919
N6AMT1	NM_182749
FOXO1	NM_002015
ANKRD36B	NM_001393939
ADAMTS5	NM_007038
ANKRD36B	NM_025190
ZAP70	NM_001079
ZAP70	NM_001378594
ZAP70	NM_207519
COG3	NM_031431
YES1	NM_005433
CTIF	NM_014772
CTIF	NM_001142397
C2CD2	NM_199050
C2CD2	NM_015500
LRCH1	NM_001164213
LRCH1	NM_015116
ZBTB21	NM_001320729
ZBTB21	NM_001098403
ZBTB21	NM_001098402
LRCH1	NM_001164211
KLHL14	NM_020805
ZBTB21	NM_001320731
ZBTB21	NM_020727
C13orf46	NM_001365455
RASA3	NM_007368
RASA3	NM_001320821
RASA3	NM_001320822
CDADC1	NM_030911
